year;country;region;gini;inflation;unemployment;gdp;gdpgrowth;gdppercap;imports;exports;netexp;netexppergdp;fdi;fdipergdp;incometax;tradetax;population;education
2020;Enthiopia;Latin America and the Caribbean;35;20,35634686;4,126;1,07658E+11;6,059530886;918,6525941;17843281625;7727453323;-10115828301;-9,3962857;-2395799881;-2,225385751;21,27848749;17,80886615;117190911;9,906831683
2020;Fiji;Oceania;30,7;-2,595243259;4,794;4477030180;-17,0002349;4864,106008;2320677163;1292013410;-1028663754;-22,97647575;-225916562,5;-5,046125521;22,50729598;20,53152092;920422;10,6
2020;Finland;Europe;27,28;0,290554556;7,76;2,71886E+11;-2,354965157;49169,71934;1,14414E+11;1,19498E+11;5084925474;1,870241214;7447437564;2,739175774;14,52556542;6,688543741;5529543;12,7
2020;France;Europe;31,75;0,476498853;8,01;2,63901E+12;-7,784586492;39055,28293;9,14946E+11;9,18013E+11;3066398054;0,116195072;5083126491;0,192614995;28,58949189;0,003103516;67571107;11,4
2020;Gambia;Africa;37,35;5,931276366;5,096;1812170878;0,591487288;704,0304578;724946190,1;183404526,3;-541541663,8;-29,88358716;-193060000;-10,65352072;24,97268907;6,688543741;2573995;5,29
2020;Georgia;Asia;36,3;5,20246489;11,73;15842922533;-6,760439817;4255,742993;10678726893;6888452522;-3790274372;-23,92408575;-566937366,3;-3,578489796;33,53128381;0,587533858;3722716;12,8
2020;Germany;Europe;31,64;0,144877926;3,86;3,88967E+12;-3,696788705;46772,82535;1,58545E+12;1,92352E+12;3,38063E+11;8,691306889;-5888677179;-0,151392762;17,32626347;6,688543741;83160871;14,1
2020;Ghana;Africa;43,5;9,887289563;3,774;70043095503;0,513941671;2176,576218;28682367748;22815524181;-5866843567;-8,376048381;-1333368957;-1,903640819;43,03469415;9,999972094;32180401;9,906831683
2020;Greece;Europe;34,17;-1,247983556;16,31;1,88926E+11;-9,004043642;17658,9473;79279153256;66195088846;-13084064410;-6,925497121;-2655346656;-1,405495651;16,74264772;6,688543741;10698599;10,8
2020;Guatemala;Latin America and the Caribbean;36,99777778;3,214440622;3,359;77715183063;-1,791857695;4609,897258;21684928060;13723657630;-7961270430;-10,24416352;-782620480;-1,007036784;32,62397435;3,901645388;16858333;5,68
2020;Guinea;Africa;29,6;10,60162034;5,945;14177835841;4,920266372;1073,659339;6490830000;9028570000;2537740000;17,89934676;-173990000;-1,227197169;24,97268907;6,688543741;13205153;2,13
2020;Guinea-Bissau;Africa;34,8;1,140009394;3,605;1431758232;-2,399999999;710,258133;480769924,6;299351997,2;-181417927,4;-12,67098896;-20675433,22;-1,444058973;24,97268907;6,688543741;2015828;9,906831683
2020;Guyana;Latin America and the Caribbean;36,99777778;0,993337023;15,589;5471256595;43,47955594;6863,074346;3928196716;2865155888;-1063040828;-19,42955535;-1280922188;-23,41184635;24,97268907;6,688543741;797202;9,906831683
2020;Haiti;Latin America and the Caribbean;36,99777778;22,79631136;15,085;14508222518;-3,305505473;1283,141228;4227458343;1064248394;-3163209949;-21,80287727;-25000000;-0,172316078;24,97268907;6,688543741;11306801;9,906831683
2020;Honduras;Latin America and the Caribbean;49,1;3,46841178;10,68;23827859695;-8,964760184;2354,12148;11709756051;6392673894;-5317082157;-22,31456046;-373027854,9;-1,565511379;19,5076776;2,621651991;10121763;6,55
2020;Hong Kong;Latin America and the Caribbean;36,99777778;0,250962021;5,81;3,44943E+11;-6,54479911;46109,22999;7,80529E+11;8,07322E+11;26792782328;7,767303789;-34029267970;-9,865181555;24,97268907;6,688543741;7481000;12,1
2020;Hungary;Europe;30,1;3,326743858;4,25;1,57227E+11;-4,535550833;16125,60941;1,38471E+11;1,37691E+11;-779562971,9;-0,495819741;-2989023095;-1,901086518;16,41943698;6,688543741;9750149;12
2020;Iceland;Europe;26,7;2,847924015;5,48;21553080484;-7,241872034;58813,79698;7530600830;7915854321;385253490,9;1,787463705;501161099,9;2,325241166;33,10884047;0,296580488;366463;13,7
2020;India;Asia;35,14;6,623436776;10,195;2,6716E+12;-5,83105322;1913,219721;5,47676E+11;5,07289E+11;-40387001333;-1,511718484;-53239697391;-1,992805408;24,97268907;6,688543741;1396387127;6,37
2020;Indonesia;Asia;38,68;1,920968006;4,25;1,05905E+12;-2,065511829;3895,618152;1,94005E+11;1,8364E+11;-10364780632;-0,978682143;-14142473958;-1,335386364;36,09699445;2,196931706;271857970;8,15
